Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira,,,,
SE;MG;SAO SEBASTIAO DO PARAISO;REDE DE POSTOS ZERO IV LTDA.; 00.883.226/0001-88;RODOVIA BR 491 KM 03;3101;;ITAMARATI;37950-000;ETANOL;10/05/2004;1,19;;R$ / litro;EXXEL,,,
SE;MG;SAO SEBASTIAO DO PARAISO;REDE DE POSTOS ZERO IV LTDA.; 00.883.226/0001-88;RODOVIA BR 491 KM 03;3101;;ITAMARATI;37950-000;DIESEL;10/05/2004;1,26;;R$ / litro;EXXEL,,,
S;RS;SANTA MARIA;SANTA LUCIA COMERCIO E PAVIMENTACOES LTDA; 87.305.868/0001-88;RODOVIA RS 509;1200;KM 03;JOÃO GOULART;97095-000;GASOLINA;10/05/2004;2,25;1,695;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
S;RS;SANTA MARIA;SANTA LUCIA COMERCIO E PAVIMENTACOES LTDA; 87.305.868/0001-88;RODOVIA RS 509;1200;KM 03;JOÃO GOULART;97095-000;ETANOL;10/05/2004;1,16;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
S;RS;SANTA MARIA;SANTA LUCIA COMERCIO E PAVIMENTACOES LTDA; 87.305.868/0001-88;RODOVIA RS 509;1200;KM 03;JOÃO GOULART;97095-000;DIESEL;10/05/2004;1,45;1,15;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;GASOLINA;12/05/2004;1,99;1,7281;R$ / litro;LIQUIGÁS,,
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;ETANOL;12/05/2004;1;0,69;R$ / litro;LIQUIGÁS,,,
S;PR;PATO BRANCO;SANTOS & MERLO LTDA.; 79.854.667/0001-01;RUA TOCANTINS;2535;;CENTRO;85501-010;DIESEL;12/05/2004;1,39;1,2;R$ / litro;LIQUIGÁS,,
N;AC;CRUZEIRO DO SUL;E. D. SILVA & FILHO LTDA - ME; 04.096.504/0001-08; MARGEM ESQUERDA DO RIO JURUA;S/N;FLUTUANTE;CENTRO;69980-000;GASOLINA;10/05/2004;2,41;1,8799;R$ / litro;BRANCA,,
N;AC;CRUZEIRO DO SUL;E. D. SILVA & FILHO LTDA - ME; 04.096.504/0001-08; MARGEM ESQUERDA DO RIO JURUA;S/N;FLUTUANTE;CENTRO;69980-000;DIESEL;10/05/2004;1,66;1,4794;R$ / litro;BRANCA,,
N;AC;CRUZEIRO DO SUL;AUTO POSTO IGARAPE PRETO LTDA; 34.711.457/0001-26;RODOVIA BR 364, KM 76;28271;SALA  02;ZONA RURAL;69980-000;GASOLINA;10/05/2004;2,35;1,8722;R$ / litro;BRANCA,
N;AC;CRUZEIRO DO SUL;AUTO POSTO IGARAPE PRETO LTDA; 34.711.457/0001-26;RODOVIA BR 364, KM 76;28271;SALA  02;ZONA RURAL;69980-000;DIESEL;10/05/2004;1,63;1,4794;R$ / litro;BRANCA,
N;AC;CRUZEIRO DO SUL;CAMELI COMERCIAL E DISTRIBUIDORA LTDA; 14.411.789/0005-01;ESTRADA DO AEROPORTO INTERNACIONAL;S/N;KM 2 - PRÉDIO 2 SALA H;NOSSA SENHORA DAS GRAÇAS;69980-000;GASOLINA;10/05/2004;2,4;1,875;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;CRUZEIRO DO SUL;CAMELI COMERCIAL E DISTRIBUIDORA LTDA; 14.411.789/0005-01;ESTRADA DO AEROPORTO INTERNACIONAL;S/N;KM 2 - PRÉDIO 2 SALA H;NOSSA SENHORA DAS GRAÇAS;69980-000;DIESEL;10/05/2004;1,65;1,4811;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;CRUZEIRO DO SUL;CAMELI COMERCIAL E DISTRIBUIDORA LTDA; 14.411.789/0003-40;ESTRADA DO AEROPORTO INTERNACIONAL;S/N;KM 2 - PREDIO 2 - SALA G;NOSSA SENHORA DAS GRAÇAS;69980-000;GASOLINA;10/05/2004;2,4;1,8754;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;CRUZEIRO DO SUL;CAMELI COMERCIAL E DISTRIBUIDORA LTDA; 14.411.789/0003-40;ESTRADA DO AEROPORTO INTERNACIONAL;S/N;KM 2 - PREDIO 2 - SALA G;NOSSA SENHORA DAS GRAÇAS;69980-000;DIESEL;10/05/2004;1,65;1,4811;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;CRUZEIRO DO SUL;C. A. B. MEDEIROS; 04.146.980/0001-96;ESTRADA DO AEROPORTO;S/N;KM 01 - EM FRENTE A GARAGEM DA RAYTUR;COHAB;69980-000;GASOLINA;10/05/2004;2,37;1,8722;R$ / litro;BRANCA,,
N;AC;CRUZEIRO DO SUL;C. A. B. MEDEIROS; 04.146.980/0001-96;ESTRADA DO AEROPORTO;S/N;KM 01 - EM FRENTE A GARAGEM DA RAYTUR;COHAB;69980-000;DIESEL;10/05/2004;1,65;1,4794;R$ / litro;BRANCA,,
N;AC;CRUZEIRO DO SUL;JAMES CASTRO CAMELI; 02.257.256/0002-95;TRAVESSA LUIZ MEIRIM PEDREIRA;101;1º ANDAR, SL 3 B;MIRITIZAL;69980-000;GASOLINA;10/05/2004;2,4;1,8754;R$ / litro;BRANCA,
N;AC;CRUZEIRO DO SUL;JAMES CASTRO CAMELI; 02.257.256/0002-95;TRAVESSA LUIZ MEIRIM PEDREIRA;101;1º ANDAR, SL 3 B;MIRITIZAL;69980-000;DIESEL;10/05/2004;1,65;1,4811;R$ / litro;BRANCA,
N;AC;CRUZEIRO DO SUL;JAMES CASTRO CAMELI; 02.257.256/0001-04;RUA   REGO BARROS;360;;Centro;69980-000;GASOLINA;10/05/2004;2,41;1,8754;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;CRUZEIRO DO SUL;JAMES CASTRO CAMELI; 02.257.256/0001-04;RUA   REGO BARROS;360;;Centro;69980-000;ETANOL;10/05/2004;1,98;1,2992;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;CRUZEIRO DO SUL;JAMES CASTRO CAMELI; 02.257.256/0001-04;RUA   REGO BARROS;360;;Centro;69980-000;DIESEL;10/05/2004;1,66;1,4811;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;CRUZEIRO DO SUL;CIMACRE IMPORTAÇÃO E EXPORTAÇÃO LTDA; 01.534.514/0002-70;MARGEM ESQUERDA DO RIO JURUÁ;S/N;FLUTUANTE;CENTRO;69980-000;GASOLINA;10/05/2004;2,41;;R$ / litro;BRANCA,,,
N;AC;CRUZEIRO DO SUL;CIMACRE IMPORTAÇÃO E EXPORTAÇÃO LTDA; 01.534.514/0002-70;MARGEM ESQUERDA DO RIO JURUÁ;S/N;FLUTUANTE;CENTRO;69980-000;DIESEL;10/05/2004;1,66;;R$ / litro;BRANCA,,,
N;AC;CRUZEIRO DO SUL;CIMACRE IMPORTAÇÃO E EXPORTAÇÃO LTDA; 01.534.514/0001-90;AVENIDA BOULEVARD THAUMATURGO, 210;S/N;0;CENTRO;69980-000;GASOLINA;10/05/2004;2,41;;R$ / litro;BRANCA,,
N;AC;CRUZEIRO DO SUL;CIMACRE IMPORTAÇÃO E EXPORTAÇÃO LTDA; 01.534.514/0001-90;AVENIDA BOULEVARD THAUMATURGO, 210;S/N;0;CENTRO;69980-000;DIESEL;10/05/2004;1,66;;R$ / litro;BRANCA,,
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0001-11;MARGEM ESQUERDA DO RIO JURUA;S/N;;CENTRO;69065-001;GASOLINA;10/05/2004;2,4;1,8722;R$ / litro;BRANCA,,
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0001-11;MARGEM ESQUERDA DO RIO JURUA;S/N;;CENTRO;69065-001;DIESEL;10/05/2004;1,65;1,4794;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;;AVIARIO;69909-720;GASOLINA;10/05/2004;2,27;1,834;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;;AVIARIO;69909-720;ETANOL;10/05/2004;1,57;1,078;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;;AVIARIO;69909-720;DIESEL;10/05/2004;1,65;1,429;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;RODRIGUES COMERCIO DE COMBUSTIVEIS LTDA; 84.309.376/0001-72;AV CEARA;1867;;CENTRO;69900-303;GASOLINA;10/05/2004;2,27;1,834;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;RODRIGUES COMERCIO DE COMBUSTIVEIS LTDA; 84.309.376/0001-72;AV CEARA;1867;;CENTRO;69900-303;ETANOL;10/05/2004;1,57;1,177;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;RODRIGUES COMERCIO DE COMBUSTIVEIS LTDA; 84.309.376/0001-72;AV CEARA;1867;;CENTRO;69900-303;DIESEL;10/05/2004;1,65;1,429;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;R. N. DA COSTA; 04.113.510/0001-26;RUA JUAREZ TAVORA;S/N;0;PLACAS;69918-400;GASOLINA;10/05/2004;2,25;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;RIO BRANCO;R. N. DA COSTA; 04.113.510/0001-26;RUA JUAREZ TAVORA;S/N;0;PLACAS;69918-400;ETANOL;10/05/2004;1,54;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;RIO BRANCO;R. N. DA COSTA; 04.113.510/0001-26;RUA JUAREZ TAVORA;S/N;0;PLACAS;69918-400;DIESEL;10/05/2004;1,65;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GASOLINA;10/05/2004;2,25;1,846;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;ETANOL;10/05/2004;1,6;1,192;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;DIESEL;10/05/2004;1,65;1,439;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;T. M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 03.899.888/0001-34;RUA VALDOMIRO LOPES;793;;CONQUISTA;69914-460;GASOLINA;10/05/2004;2,25;1,765;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;T. M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 03.899.888/0001-34;RUA VALDOMIRO LOPES;793;;CONQUISTA;69914-460;ETANOL;10/05/2004;1,55;0,767;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;T. M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 03.899.888/0001-34;RUA VALDOMIRO LOPES;793;;CONQUISTA;69914-460;DIESEL;10/05/2004;1,63;1,348;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;S CARUTA DE ALMEIDA; 02.381.199/0001-70;RUA FLORIANO PEIXOTO;721;LOJA I;CENTRO;69908-030;GASOLINA;10/05/2004;2,27;1,846;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;S CARUTA DE ALMEIDA; 02.381.199/0001-70;RUA FLORIANO PEIXOTO;721;LOJA I;CENTRO;69908-030;ETANOL;10/05/2004;1,88;1,0501;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
