Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira,,,,
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GASOLINA;10/05/2004;2,25;1,78;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;ETANOL;10/05/2004;1,67;1,074;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;DIESEL;10/05/2004;1,63;1,349;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;SILVA & FILHO LTDA; 04.754.643/0001-81;ESTRADA DIAS MARTINS;1,465;;DISTRITO INDUSTRIAL;69911-845;GASOLINA;10/05/2004;2,26;1,825;R$ / litro;DNP,
N;AC;RIO BRANCO;SILVA & FILHO LTDA; 04.754.643/0001-81;ESTRADA DIAS MARTINS;1,465;;DISTRITO INDUSTRIAL;69911-845;ETANOL;10/05/2004;1,6;;R$ / litro;DNP,,
N;AC;RIO BRANCO;SILVA & FILHO LTDA; 04.754.643/0001-81;ESTRADA DIAS MARTINS;1,465;;DISTRITO INDUSTRIAL;69911-845;DIESEL;10/05/2004;1,65;1,365;R$ / litro;DNP,
N;AC;RIO BRANCO;FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA; 04.587.754/0001-40;AVENIDA CEARA;3491;;7O BEC;69918-108;GASOLINA;10/05/2004;2,25;1,846;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA; 04.587.754/0001-40;AVENIDA CEARA;3491;;7O BEC;69918-108;ETANOL;10/05/2004;1,6;1,093;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA; 04.587.754/0001-40;AVENIDA CEARA;3491;;7O BEC;69918-108;DIESEL;10/05/2004;1,63;1,436;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO MODELO LTDA.; 04.514.063/0001-17;AVENIDA GETÚLIO VARGAS;1729;0;BOSQUE;69908-650;GASOLINA;10/05/2004;2,25;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;RIO BRANCO;AUTO POSTO MODELO LTDA.; 04.514.063/0001-17;AVENIDA GETÚLIO VARGAS;1729;0;BOSQUE;69908-650;ETANOL;10/05/2004;1,54;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;RIO BRANCO;AUTO POSTO RD LTDA.; 04.077.459/0001-44;RUA MINAS GERAIS;1412;ESQ. A RUA LEBLON;IVETE VARGAS;69906-000;GASOLINA;10/05/2004;2,25;1,783;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO RD LTDA.; 04.077.459/0001-44;RUA MINAS GERAIS;1412;ESQ. A RUA LEBLON;IVETE VARGAS;69906-000;ETANOL;10/05/2004;1,5;1,089;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;AUTO POSTO RD LTDA.; 04.077.459/0001-44;RUA MINAS GERAIS;1412;ESQ. A RUA LEBLON;IVETE VARGAS;69906-000;DIESEL;10/05/2004;1,63;1,373;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;JOAO FERREIRA DA CUNHA; 04.068.342/0001-02;RUA 6 DE AGOSTO;31;;SEIS DE AGOSTO;69905-629;GASOLINA;10/05/2004;2,26;1,846;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;JOAO FERREIRA DA CUNHA; 04.068.342/0001-02;RUA 6 DE AGOSTO;31;;SEIS DE AGOSTO;69905-629;ETANOL;10/05/2004;1,55;1,093;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;JOAO FERREIRA DA CUNHA; 04.068.342/0001-02;RUA 6 DE AGOSTO;31;;SEIS DE AGOSTO;69905-629;DIESEL;10/05/2004;1,63;1,436;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;GASOLINA;10/05/2004;2,28;1,846;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;ETANOL;10/05/2004;1,78;0,887;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;DIESEL;10/05/2004;1,64;1,438;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;RIO BRANCO;A. CANDIDA TAVARES; 01.505.720/0001-71;RUA RIO DE JANEIRO;731;0;PREVENTÓRIO;69906-380;GASOLINA;10/05/2004;2,25;1,81;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;A. CANDIDA TAVARES; 01.505.720/0001-71;RUA RIO DE JANEIRO;731;0;PREVENTÓRIO;69906-380;ETANOL;10/05/2004;1,5;;R$ / litro;BRANCA,,,
N;AC;RIO BRANCO;A. CANDIDA TAVARES; 01.505.720/0001-71;RUA RIO DE JANEIRO;731;0;PREVENTÓRIO;69906-380;DIESEL;10/05/2004;1,63;1,343;R$ / litro;BRANCA,,
N;AC;RIO BRANCO;BRITA LINS COMERCIO E EXPLORACAO DE MINERIOS LTDA; 00.542.929/0001-42;RODOVIA BR 364 ENTRONCAMENTO C/ AC- 40;S/N;KM 01;CORRENTE;69901-180;GASOLINA;10/05/2004;2,27;;R$ / litro;BRANCA,,,
N;AC;RIO BRANCO;BRITA LINS COMERCIO E EXPLORACAO DE MINERIOS LTDA; 00.542.929/0001-42;RODOVIA BR 364 ENTRONCAMENTO C/ AC- 40;S/N;KM 01;CORRENTE;69901-180;ETANOL;10/05/2004;1,7;;R$ / litro;BRANCA,,,
N;AC;RIO BRANCO;BRITA LINS COMERCIO E EXPLORACAO DE MINERIOS LTDA; 00.542.929/0001-42;RODOVIA BR 364 ENTRONCAMENTO C/ AC- 40;S/N;KM 01;CORRENTE;69901-180;DIESEL;10/05/2004;1,64;;R$ / litro;BRANCA,,,
N;AC;SENA MADUREIRA;SENA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 63.609.002/0001-00;AVENIDA BRASIL;2154;;TRIANGULO;69940-000;GASOLINA;10/05/2004;2,45;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;SENA MADUREIRA;SENA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 63.609.002/0001-00;AVENIDA BRASIL;2154;;TRIANGULO;69940-000;ETANOL;10/05/2004;1,79;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;SENA MADUREIRA;SENA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 63.609.002/0001-00;AVENIDA BRASIL;2154;;TRIANGULO;69940-000;DIESEL;10/05/2004;1,78;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;SENA MADUREIRA;J.N.COMERCIO DE DERIVADOS DE PETROLEO LTDA. - EPP; 34.705.087/0001-14;AVENIDA AVELINO CHAVES;200;;CENTRO;69940-000;GASOLINA;10/05/2004;2,45;1,8725;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;SENA MADUREIRA;J.N.COMERCIO DE DERIVADOS DE PETROLEO LTDA. - EPP; 34.705.087/0001-14;AVENIDA AVELINO CHAVES;200;;CENTRO;69940-000;ETANOL;10/05/2004;1,79;1,2658;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;SENA MADUREIRA;J.N.COMERCIO DE DERIVADOS DE PETROLEO LTDA. - EPP; 34.705.087/0001-14;AVENIDA AVELINO CHAVES;200;;CENTRO;69940-000;DIESEL;10/05/2004;1,78;1,4662;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;SENA MADUREIRA;GONCALVES E FREITAS LTDA; 04.016.507/0002-75;RUA SARGENTO SOUZA;689;;CENTO;69940-000;GASOLINA;10/05/2004;2,245;1,8356;R$ / litro;BRANCA,,
N;AC;SENA MADUREIRA;GONCALVES E FREITAS LTDA; 04.016.507/0002-75;RUA SARGENTO SOUZA;689;;CENTO;69940-000;DIESEL;10/05/2004;1,78;1,4198;R$ / litro;BRANCA,,
N;AC;SENA MADUREIRA;GONCALVES E FREITAS LTDA; 04.016.507/0001-94;RUA PADRE EGIDIO;341;;CENTRO;69940-000;GASOLINA;10/05/2004;2,45;1,8344;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;SENA MADUREIRA;GONCALVES E FREITAS LTDA; 04.016.507/0001-94;RUA PADRE EGIDIO;341;;CENTRO;69940-000;DIESEL;10/05/2004;1,78;1,428;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
N;AC;SENA MADUREIRA;PETROSENA LTDA - ME; 03.864.861/0001-06;AVENIDA BRASIL;1156;;JORGE ALVES JUNIOR;69940-000;GASOLINA;10/05/2004;2,45;1,8;R$ / litro;BRANCA,,
N;AC;SENA MADUREIRA;PETROSENA LTDA - ME; 03.864.861/0001-06;AVENIDA BRASIL;1156;;JORGE ALVES JUNIOR;69940-000;ETANOL;10/05/2004;1,79;0,8142;R$ / litro;BRANCA,,
N;AC;SENA MADUREIRA;PETROSENA LTDA - ME; 03.864.861/0001-06;AVENIDA BRASIL;1156;;JORGE ALVES JUNIOR;69940-000;DIESEL;10/05/2004;1,78;1,343;R$ / litro;BRANCA,,
N;AC;SENADOR GUIOMARD;AUTO POSTO QUINARI LTDA; 10.209.732/0001-40;AVENIDA CASTELO BRANCO;2709;;CENTRO;69925-000;GASOLINA;10/05/2004;2,27;;R$ / litro;SABBÁ,,,
N;AC;SENADOR GUIOMARD;AUTO POSTO QUINARI LTDA; 10.209.732/0001-40;AVENIDA CASTELO BRANCO;2709;;CENTRO;69925-000;ETANOL;10/05/2004;1,85;;R$ / litro;SABBÁ,,,
N;AC;SENADOR GUIOMARD;AUTO POSTO QUINARI LTDA; 10.209.732/0001-40;AVENIDA CASTELO BRANCO;2709;;CENTRO;69925-000;DIESEL;10/05/2004;1,64;;R$ / litro;SABBÁ,,,
N;AC;SENADOR GUIOMARD;F HAMAGUCHI AQUINO - ME; 84.305.259/0001-30;RUA CASTELO BRANCO;776;;CENTRO;69925-000;GASOLINA;10/05/2004;2,27;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;SENADOR GUIOMARD;F HAMAGUCHI AQUINO - ME; 84.305.259/0001-30;RUA CASTELO BRANCO;776;;CENTRO;69925-000;ETANOL;10/05/2004;1,85;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;SENADOR GUIOMARD;F HAMAGUCHI AQUINO - ME; 84.305.259/0001-30;RUA CASTELO BRANCO;776;;CENTRO;69925-000;DIESEL;10/05/2004;1,64;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
N;AC;SENADOR GUIOMARD;A.R.CAETANO; 04.120.271/0001-31; BR 364 KM 60;S/N;;CAMPINAS;69925-000;GASOLINA;10/05/2004;2,28;;R$ / litro;BRANCA,,,
N;AC;SENADOR GUIOMARD;A.R.CAETANO; 04.120.271/0001-31; BR 364 KM 60;S/N;;CAMPINAS;69925-000;ETANOL;10/05/2004;1,86;;R$ / litro;BRANCA,,,
N;AC;SENADOR GUIOMARD;A.R.CAETANO; 04.120.271/0001-31; BR 364 KM 60;S/N;;CAMPINAS;69925-000;DIESEL;10/05/2004;1,65;;R$ / litro;BRANCA,,,
N;AC;TARAUACA;FIGUEREDO & CIA LTDA; 14.276.935/0001-00;RUA TRINTA E UM DE MARCO;S/N;;CENTRO;69970-000;GASOLINA;10/05/2004;1,85;;R$ / litro;BRANCA,,,
N;AC;TARAUACA;FIGUEREDO & CIA LTDA; 14.276.935/0001-00;RUA TRINTA E UM DE MARCO;S/N;;CENTRO;69970-000;DIESEL;10/05/2004;1,9;;R$ / litro;BRANCA,,,
N;AC;TARAUACA;TOMAZ NAVEGACOES LTDA; 03.454.192/0001-02;RUA EPAMINONDAS JACOME;S/N;;CENTRO;69970-000;GASOLINA;10/05/2004;2,85;;R$ / litro;EQUATORIAL,,,
N;AC;TARAUACA;TOMAZ NAVEGACOES LTDA; 03.454.192/0001-02;RUA EPAMINONDAS JACOME;S/N;;CENTRO;69970-000;DIESEL;10/05/2004;1,9;;R$ / litro;EQUATORIAL,,,
N;AC;TARAUACA;POSTO RI LTDA; 63.604.631/0001-30;RUA JUSTINIANO SERPA;69;;CENTRO;69970-000;GASOLINA;10/05/2004;2,85;;R$ / litro;EQUATORIAL,,,
N;AC;TARAUACA;POSTO RI LTDA; 63.604.631/0001-30;RUA JUSTINIANO SERPA;69;;CENTRO;69970-000;DIESEL;10/05/2004;1,9;;R$ / litro;EQUATORIAL,,,
N;AC;TARAUACA;POSTO RI LTDA; 63.604.631/0002-10;RUA 31 DE MARCO - MARGEM ESQUERDA;S/N;RIO TARAUACA;CENTRO;69970-000;GASOLINA;10/05/2004;2,85;;R$ / litro;BRANCA,,,
N;AC;TARAUACA;POSTO RI LTDA; 63.604.631/0002-10;RUA 31 DE MARCO - MARGEM ESQUERDA;S/N;RIO TARAUACA;CENTRO;69970-000;DIESEL;10/05/2004;1,9;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0001-12;RUA EXPEDICIONARIOS BRASILEIROS;252;;CENTRO;57300-590;GASOLINA;10/05/2004;2,07;1,7073;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0001-12;RUA EXPEDICIONARIOS BRASILEIROS;252;;CENTRO;57300-590;ETANOL;10/05/2004;1,2;1;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0001-12;RUA EXPEDICIONARIOS BRASILEIROS;252;;CENTRO;57300-590;DIESEL;10/05/2004;1,39;1,1934;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
NE;AL;ARAPIRACA;QUENTINO & COSTA LTDA; 05.105.925/0001-10;RUA DOM JONAS BATINGA;4;;CENTRO;57301-130;GASOLINA;10/05/2004;2,09;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;QUENTINO & COSTA LTDA; 05.105.925/0001-10;RUA DOM JONAS BATINGA;4;;CENTRO;57301-130;ETANOL;10/05/2004;1,1;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;QUENTINO & COSTA LTDA; 05.105.925/0001-10;RUA DOM JONAS BATINGA;4;;CENTRO;57301-130;DIESEL;10/05/2004;1,37;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;CENTRO COMERCIAL FERREIRA LTDA.; 04.714.021/0002-00;RODOVIA AL 110;S/N;KM 69;ZONA RURAL;57300-000;GASOLINA;10/05/2004;2,07;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;CENTRO COMERCIAL FERREIRA LTDA.; 04.714.021/0002-00;RODOVIA AL 110;S/N;KM 69;ZONA RURAL;57300-000;ETANOL;10/05/2004;1,15;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;CENTRO COMERCIAL FERREIRA LTDA.; 04.714.021/0002-00;RODOVIA AL 110;S/N;KM 69;ZONA RURAL;57300-000;DIESEL;10/05/2004;1,38;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTÍVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220;S/N.º;KM 06;PLANALTO;57308-000;GASOLINA;10/05/2004;2,09;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTÍVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220;S/N.º;KM 06;PLANALTO;57308-000;ETANOL;10/05/2004;1,249;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTÍVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220;S/N.º;KM 06;PLANALTO;57308-000;DIESEL;10/05/2004;1,399;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;IRMAOS JOTA PINTO & CIA LTDA; 08.418.303/0006-45;RODOVIA AL 220;S/N;KM 08;BAIXA GRANDE;57308-000;GASOLINA;10/05/2004;2,09;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;IRMAOS JOTA PINTO & CIA LTDA; 08.418.303/0006-45;RODOVIA AL 220;S/N;KM 08;BAIXA GRANDE;57308-000;ETANOL;10/05/2004;1,25;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;IRMAOS JOTA PINTO & CIA LTDA; 08.418.303/0006-45;RODOVIA AL 220;S/N;KM 08;BAIXA GRANDE;57308-000;DIESEL;10/05/2004;1,39;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;POSTO ATLANTIC CONFIANCA LTDA; 08.461.170/0001-85;RUA QUINZE DE NOVEMBRO;470;;CENTRO;57300-340;GASOLINA;10/05/2004;2,09;;R$ / litro;CBPI,,,
NE;AL;ARAPIRACA;POSTO ATLANTIC CONFIANCA LTDA; 08.461.170/0001-85;RUA QUINZE DE NOVEMBRO;470;;CENTRO;57300-340;ETANOL;10/05/2004;1,2;;R$ / litro;CBPI,,,
NE;AL;ARAPIRACA;POSTO ATLANTIC CONFIANCA LTDA; 08.461.170/0001-85;RUA QUINZE DE NOVEMBRO;470;;CENTRO;57300-340;DIESEL;10/05/2004;1,4;;R$ / litro;CBPI,,,
NE;AL;ARAPIRACA;AUTO POSTO SAO FRANCISCO LTDA; 12.706.529/0001-04;RUA SAO FRANCISCO;274;;CENTRO;57300-080;GASOLINA;10/05/2004;2,08;1,7898;R$ / litro;CBPI,,
NE;AL;ARAPIRACA;AUTO POSTO SAO FRANCISCO LTDA; 12.706.529/0001-04;RUA SAO FRANCISCO;274;;CENTRO;57300-080;ETANOL;10/05/2004;1,25;0,9992;R$ / litro;CBPI,,
NE;AL;ARAPIRACA;POSTO E HOTEL DIVAN LTDA; 24.313.645/0001-42;AVENIDA GOVERNADOR ANTONIO SIMEÃO LAMENHA FILHO;406;;JARDIM TROPICAL;57300-000;GASOLINA;10/05/2004;2,09;1,7436;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
NE;AL;ARAPIRACA;POSTO E HOTEL DIVAN LTDA; 24.313.645/0001-42;AVENIDA GOVERNADOR ANTONIO SIMEÃO LAMENHA FILHO;406;;JARDIM TROPICAL;57300-000;ETANOL;10/05/2004;1,15;1;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;POSTO E HOTEL DIVAN LTDA; 24.313.645/0001-42;AVENIDA GOVERNADOR ANTONIO SIMEÃO LAMENHA FILHO;406;;JARDIM TROPICAL;57300-000;DIESEL;10/05/2004;1,38;1,2243;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
NE;AL;ARAPIRACA;POSTO VAVEL LTDA -EPP; 02.496.680/0001-01;RODOVIA AL-110;1054;;CANAFISTULA;57302-045;GASOLINA;10/05/2004;2,04;;R$ / litro;CBPI,,,
NE;AL;ARAPIRACA;POSTO VAVEL LTDA -EPP; 02.496.680/0001-01;RODOVIA AL-110;1054;;CANAFISTULA;57302-045;ETANOL;10/05/2004;1,14;;R$ / litro;CBPI,,,
NE;AL;ARAPIRACA;POSTO VAVEL LTDA -EPP; 02.496.680/0001-01;RODOVIA AL-110;1054;;CANAFISTULA;57302-045;DIESEL;10/05/2004;1,38;;R$ / litro;CBPI,,,
NE;AL;ARAPIRACA;J. R. SOARES & SOUZA LTDA ME; 35.370.972/0004-03;RUA BENJAMIM FREIRE DE AMORIM;2135;;JARDIM ESPERANÇA;57307-620;GASOLINA;10/05/2004;2,07;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;J. R. SOARES & SOUZA LTDA ME; 35.370.972/0004-03;RUA BENJAMIM FREIRE DE AMORIM;2135;;JARDIM ESPERANÇA;57307-620;ETANOL;10/05/2004;1,1;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;J. R. SOARES & SOUZA LTDA ME; 35.370.972/0004-03;RUA BENJAMIM FREIRE DE AMORIM;2135;;JARDIM ESPERANÇA;57307-620;DIESEL;10/05/2004;1,35;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;RODO CENTER AUTO POSTO LTDA; 40.921.967/0001-20;RODOVIA AL 220;SN;KM 06;JARDIM ESPERANCA;57304-820;GASOLINA;10/05/2004;2,099;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;RODO CENTER AUTO POSTO LTDA; 40.921.967/0001-20;RODOVIA AL 220;SN;KM 06;JARDIM ESPERANCA;57304-820;ETANOL;10/05/2004;1,199;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;RODO CENTER AUTO POSTO LTDA; 40.921.967/0001-20;RODOVIA AL 220;SN;KM 06;JARDIM ESPERANCA;57304-820;DIESEL;10/05/2004;1,35;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;CIRIO ANTONIO DE SOUZA CIA LTDA; 12.419.768/0001-83;RUA EXPEDICIONARIOS BRASILEIROS;1061;;ELDORADO;57306-000;GASOLINA;10/05/2004;2,099;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;CIRIO ANTONIO DE SOUZA CIA LTDA; 12.419.768/0001-83;RUA EXPEDICIONARIOS BRASILEIROS;1061;;ELDORADO;57306-000;ETANOL;10/05/2004;1,299;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;CIRIO ANTONIO DE SOUZA CIA LTDA; 12.419.768/0001-83;RUA EXPEDICIONARIOS BRASILEIROS;1061;;ELDORADO;57306-000;DIESEL;10/05/2004;1,399;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;GASOLINA;10/05/2004;2,09;;R$ / litro;RAIZEN,,,
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;ETANOL;10/05/2004;1,2;;R$ / litro;RAIZEN,,,
NE;AL;ARAPIRACA;DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA; 12.396.339/0001-38;RUA QUINZE DE NOVEMBRO;451;;BRASILIA;57313-015;DIESEL;10/05/2004;1,4;;R$ / litro;RAIZEN,,,
NE;AL;ARAPIRACA;CAMPEL - COMERCIAL DE PETROLEO LTDA; 08.840.639/0001-97;RUA DOM JONAS BATINGAS;5;;OURO PRETO;57301-130;GASOLINA;10/05/2004;2,09;;R$ / litro;RAIZEN,,,
NE;AL;ARAPIRACA;CAMPEL - COMERCIAL DE PETROLEO LTDA; 08.840.639/0001-97;RUA DOM JONAS BATINGAS;5;;OURO PRETO;57301-130;ETANOL;10/05/2004;1,15;;R$ / litro;RAIZEN,,,
NE;AL;ARAPIRACA;CAMPEL - COMERCIAL DE PETROLEO LTDA; 08.840.639/0001-97;RUA DOM JONAS BATINGAS;5;;OURO PRETO;57301-130;DIESEL;10/05/2004;1,39;;R$ / litro;RAIZEN,,,
NE;AL;ARAPIRACA;AUTO POSTO PARAISO LTDA; 08.618.084/0001-33;RODOVIA AL 102;S/N;KM 73;SÍTIO MOCO;57300-000;GASOLINA;10/05/2004;2,15;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;AUTO POSTO PARAISO LTDA; 08.618.084/0001-33;RODOVIA AL 102;S/N;KM 73;SÍTIO MOCO;57300-000;ETANOL;10/05/2004;1,25;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;AUTO POSTO PARAISO LTDA; 08.618.084/0001-33;RODOVIA AL 102;S/N;KM 73;SÍTIO MOCO;57300-000;DIESEL;10/05/2004;1,45;;R$ / litro;BRANCA,,,
NE;AL;ARAPIRACA;AUTO POSTO BANANEIRA LTDA - ME; 08.615.908/0001-11;RUA MARECHAL DEODORO;275;;CENTRO;57313-010;GASOLINA;10/05/2004;2,05;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;AUTO POSTO BANANEIRA LTDA - ME; 08.615.908/0001-11;RUA MARECHAL DEODORO;275;;CENTRO;57313-010;ETANOL;10/05/2004;1,2;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;AUTO POSTO BANANEIRA LTDA - ME; 08.615.908/0001-11;RUA MARECHAL DEODORO;275;;CENTRO;57313-010;DIESEL;10/05/2004;1,4;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;CENTRO COMERCIAL FERREIRA LTDA.; 04.714.021/0001-20;RODOVIA AL 110;S/N;KM 66;BOA VISTA;57300-000;GASOLINA;10/05/2004;2,09;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;CENTRO COMERCIAL FERREIRA LTDA.; 04.714.021/0001-20;RODOVIA AL 110;S/N;KM 66;BOA VISTA;57300-000;ETANOL;10/05/2004;1,25;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;CENTRO COMERCIAL FERREIRA LTDA.; 04.714.021/0001-20;RODOVIA AL 110;S/N;KM 66;BOA VISTA;57300-000;DIESEL;10/05/2004;1,37;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
NE;AL;ARAPIRACA;AUTO POSTO AURORA LTDA; 03.769.851/0001-91;RODOVIA AL 115;S/N;CASA COMERCIAL;BOA VISTA;57300-000;GASOLINA;10/05/2004;2;;R$ / litro;TEMAPE,,,,
NE;AL;ARAPIRACA;AUTO POSTO AURORA LTDA; 03.769.851/0001-91;RODOVIA AL 115;S/N;CASA COMERCIAL;BOA VISTA;57300-000;DIESEL;10/05/2004;1,36;;R$ / litro;TEMAPE,,,
